model,batch_size,xgb_time_ms,gnn_time_ms
ResNet18(Seen),1,22025.465794806718,5.456199928342146
ResNet18(Seen),4,22025.465794806718,8.093022597576049
ResNet18(Seen),32,22025.465794806718,17.282108238496384
ShuffleNetV2(Unseen),1,22025.465794806718,4.883063794137578
ShuffleNetV2(Unseen),4,22025.465794806718,7.353841004547231
ShuffleNetV2(Unseen),32,22025.465794806718,15.702592003344648
SqueezeNet(Unseen),1,22025.465794806718,3.1768960959307773
SqueezeNet(Unseen),4,22025.465794806718,4.837182617448574
SqueezeNet(Unseen),32,22025.465794806718,10.633885845673833
MobileNetV3(Unseen),1,22025.465794806718,4.741113187979902
MobileNetV3(Unseen),4,22025.465794806718,7.085882180378563
MobileNetV3(Unseen),32,22025.465794806718,15.163076093250048
