model_name,batch_size,input_shape,total_parameters,trainable_parameters,model_size_mb,device,execution_time_ms,execution_time_std,timing_cv,peak_memory_mb,gpu_name,tflops_fp32,memory_bandwidth_gbps,sm_count,weight_memory_mb,activation_memory_mb,gpu_utilization_percent,memory_utilization_percent,memory_used_mb,memory_total_mb,flops,compute_memory_ratio,memory_read_write_ratio,num_conv_layers,num_fc_layers,num_bn_layers,avg_conv_kernel_size,max_conv_channels,total_conv_params,max_fc_size,total_fc_params,model_depth
convnext_base,8,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,229.90233612060547,7.158224773807556,0.0311359375227107,1888.4599609375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1550.5103454589844,100.0,13.0,6061.203125,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,16,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,462.68109130859375,198.75334039314296,0.4295687550804862,2015.5537109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1677.6040954589844,99.0,9.0,5955.8828125,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,32,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,881.5872192382812,115.3083121237234,0.1307962611155168,2269.7412109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1931.7915954589844,100.0,10.0,6031.5078125,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,64,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,1815.3211059570312,438.3912831149319,0.2414951722183453,2778.1162109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,2440.1665954589844,100.0,10.0,5977.0703125,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,1,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,45.91411209106445,13.08160827428476,0.2849147610228036,1784.55419921875,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1446.6045837402344,99.0,9.0,2256.43359375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,1,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,16.341504096984863,2.1774110569674807,0.1332442254954968,1779.53076171875,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1441.5811462402344,29.0,8.0,5978.62109375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,2,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,47.60872077941895,0.3775269362272359,0.0079297853426574,1793.9677734375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1456.0181579589844,100.0,16.0,5978.62109375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,4,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,86.0512809753418,0.4469964474182981,0.0051945356576526,1824.9130859375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1486.9634704589844,100.0,16.0,5978.62109375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,8,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,161.84166717529297,0.8325903833125835,0.0051444748304875,1888.4599609375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1550.5103454589844,100.0,17.0,5978.62109375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,16,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,319.1894989013672,1.516892499773275,0.0047523258283545,2015.5537109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1677.6040954589844,100.0,14.0,5978.74609375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,32,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,638.2228393554688,2.7043303725305794,0.004237282349935,2269.7412109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,1931.7915954589844,100.0,14.0,5978.74609375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,64,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,1282.3060302734375,3.770595745888132,0.0029404803977106,2778.1162109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,2440.1665954589844,100.0,13.0,5978.74609375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_base,128,"(3, 224, 224)",88591464,88591464.0,337.9496154785156,cuda,2689.3736572265625,257.1161432768664,0.0956044700541626,3794.8662109375,RTX Baseline,12.74,360.0,28.0,337.9496154785156,3456.9165954589844,100.0,13.0,5978.74609375,6144.0,30746892288.0,86.76595605192844,0.5,40,73,0,6.55,1024,3662976,4096,84870248,382
convnext_large,1,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,140.95916748046875,47.08489439549234,0.3340321543945155,5782.9228515625,RTX Baseline,12.74,360.0,28.0,754.4225158691406,5028.500335693359,100.0,5.0,6077.71484375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,1,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,236.2506256103516,1.3675322656165092,0.0057884810339769,5736.85791015625,RTX Baseline,12.74,360.0,28.0,754.4225158691406,4982.435394287109,100.0,4.0,6052.65234375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,2,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,202.2440948486328,1.7098269583560737,0.0084542738299841,5744.984375,RTX Baseline,12.74,360.0,28.0,754.4225158691406,4990.561859130859,100.0,8.0,6051.33984375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,4,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,355.4447326660156,3.6621084670574335,0.0103028913653592,5792.0703125,RTX Baseline,12.74,360.0,28.0,754.4225158691406,5037.647796630859,100.0,9.0,6046.90234375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,8,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,865.3163452148438,3.462586257702142,0.0040015264669921,5886.2421875,RTX Baseline,12.74,360.0,28.0,754.4225158691406,5131.819671630859,100.0,8.0,6052.65234375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,16,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,2083.1539306640625,9.552944435886454,0.004585808228217,6074.5859375,RTX Baseline,12.74,360.0,28.0,754.4225158691406,5320.163421630859,100.0,1.0,6051.40234375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,32,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,6608.560546875,16.870777659796897,0.0025528672303338,6451.2734375,RTX Baseline,12.74,360.0,28.0,754.4225158691406,5696.850921630859,100.0,4.0,6051.40234375,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,64,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,16951.6015625,2508.797859134352,0.1479976891790635,7204.6484375,RTX Baseline,12.74,360.0,28.0,754.4225158691406,6450.225921630859,100.0,4.0,6055.7578125,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_large,128,"(3, 224, 224)",197767336,197767336.0,754.4225158691406,cuda,54202.955078125,2002.007625109921,0.0369353962754301,8711.3984375,RTX Baseline,12.74,360.0,28.0,754.4225158691406,7956.975921630859,100.0,2.0,6009.46875,6144.0,68779017216.0,86.94435922421486,0.5,40,73,0,6.55,1536,7558848,6144,190121128,382
convnext_small,1,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,41.26244735717773,1.531087063217947,0.0371060652299021,1435.17822265625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1243.5900573730469,99.0,6.0,6087.453125,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,2,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,70.26166152954102,1.6837603509483523,0.0239641408169156,1446.79150390625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1255.2033386230469,99.0,7.0,6087.453125,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,4,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,112.07516860961914,2.696013041347683,0.0240554002708164,1470.90869140625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1279.3205261230469,100.0,8.0,6087.453125,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,8,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,206.47064971923828,2.9298986142003667,0.0141903879227885,1519.14306640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1327.5549011230469,100.0,10.0,6087.453125,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,16,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,398.9954528808594,61.629311456986684,0.1544611874943718,1615.61181640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1424.0236511230469,100.0,10.0,6009.703125,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,32,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,778.3746643066406,95.19150447407075,0.1222952247022878,1808.54931640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1616.9611511230469,100.0,13.0,6030.703125,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,64,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,1104.5242614746094,270.05375299676854,0.2444978009228926,2194.42431640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,2002.8361511230469,100.0,9.0,6038.015625,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,1,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,14.155264377593994,2.654684688687948,0.1875404526320568,1442.10791015625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1250.5197448730469,27.0,1.0,1908.43359375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,1,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,11.399680137634276,1.718658937968263,0.1507637860946302,1435.17822265625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1243.5900573730469,97.0,18.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,2,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,29.918720245361328,4.570086306999528,0.1527500598076328,1446.79150390625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1255.2033386230469,99.0,21.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,4,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,55.39686393737793,0.5478568721839266,0.0098896730470762,1470.90869140625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1279.3205261230469,100.0,15.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,8,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,107.87891387939452,0.5196530971280418,0.0048170034201881,1519.14306640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1327.5549011230469,100.0,17.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,16,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,208.4905014038086,1.2160117840677145,0.0058324565189983,1615.61181640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1424.0236511230469,100.0,16.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,32,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,416.0481262207031,1.3045308183999045,0.0031355286472429,1808.54931640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,1616.9611511230469,100.0,16.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,64,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,821.7856140136719,1.8625001949895847,0.0022664064242871,2194.42431640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,2002.8361511230469,100.0,19.0,5978.99609375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,128,"(3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,1558.320556640625,164.71312036773122,0.1056991256809885,2966.17431640625,RTX Baseline,12.74,360.0,28.0,191.58816528320312,2774.586151123047,100.0,15.0,5966.62109375,6144.0,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,1,"(1, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,11.79036808013916,0.3854988989941771,0.032696086871414,214.58447265625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,2,"(2, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,13.115391731262209,0.2014721989540405,0.0153615083012584,225.79150390625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,4,"(4, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,21.797887802124023,0.376283094725055,0.0172623649658564,248.58056640625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,8,"(8, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,43.00083160400391,0.7640049902101248,0.0177672143005482,296.81494140625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,16,"(16, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,111.47673797607422,4.141687130510701,0.0371529271999294,394.28369140625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
